name,email,phone,country,state,city,course
John Doe,john@example.com,9876543210,USA,California,Los Angeles,Computer Science
Jane Smith,jane@example.com,9876543211,USA,California,San Diego,Data Science
Ali Khan,ali@example.com,9876543212,India,Maharashtra,Mumbai,Mechanical Engineering
Priya Sharma,priya@example.com,9876543213,India,Karnataka,Bangalore,Data Science
Robert Brown,robert@example.com,9876543214,Canada,Ontario,Toronto,Electrical Engineering
Sara Lee,sara@example.com,9876543215,Canada,British Columbia,Vancouver,Computer Science
John Doe Updated,john.new@example.com,9876543210,USA,California,San Francisco,Artificial Intelligence
Ali Khan Updated,ali.k@example.com,9876543212,India,Maharashtra,Pune,Mechanical Engineering
Amit Patel,amit@example.com,9876543216,India,Gujarat,Ahmedabad,Data Science
Emma Davis,emma@example.com,9876543217,Australia,New South Wales,Sydney,Computer Science
Michael Scott,michael@example.com,9876543218,USA,Pennsylvania,Scranton,Business Administration
Dwight Schrute,dwight@example.com,9876543219,USA,Pennsylvania,Scranton,Agriculture
Jim Halpert,jim@example.com,9876543220,Usa,Pennsylvania,Philadelphia,Business Administration
Pam Beesly,pam@example.com,9876543221,USA,Pennsylvania,Philadelphia,Graphic Design
Oscar Martinez,oscar@example.com,9876543222,USA,California,Los Angeles,Accounting
Kevin Malone,kevin@example.com,9876543223,USA,California,Los Angeles,Accounting
Angela Martin,angela@example.com,9876543224,USA,California,Los Angeles,Accounting
Stanley Hudson,stanley@example.com,9876543225,USA,California,San Diego,Marketing
Phyllis Vance,phyllis@example.com,9876543226,USA,California,San Diego,Marketing
Meredith Palmer,meredith@example.com,9876543227,USA,California,,Marketing
Creed Bratton,creed@example.com,9876543228,USA,,Los Angeles,Music
Ryan Howard,ryan@example.com,9876543229,USA,California,Los Angeles,
Kelly Kapoor,kelly@example.com,,USA,California,Los Angeles,Marketing
Toby Flenderson,toby@example.com,9876543231,USA,California,San Diego,Human Resources
Darryl Philbin,darryl@example.com,9876543232,USA,California,San Diego,Logistics
Roy Anderson,roy@example.com,9876543233,USA,California,San Diego,Logistics
Mose Schrute,mose@example.com,9876543234,USA,Pennsylvania,Scranton,Agriculture
Holly Flax,holly@example.com,9876543235,USA,Colorado,Denver,Business Administration
Jan Levinson,jan@example.com,9876543236,USA,Colorado,Denver,Management
David Wallace,david@example.com,9876543237,USA,New York,New York,Finance
Charles Miner,charles@example.com,9876543238,USA,New York,New York,Finance
Josh Porter,josh@example.com,9876543239,USA,New York,Albany,Marketing
Andy Bernard,andy@example.com,9876543240,UsA,New York,Albany,Music
Erin Hannon,erin@example.com,9876543241,USA,New York,Buffalo,Music
Gabe Lewis,gabe@example.com,9876543242,USA,New York,Buffalo,Music
Nellie Bertram,nellie@example.com,9876543243,UK,England,London,Business Administration
Hank Tate,hank@example.com,9876543244,UK,England,London,Security
Jo Bennett,jo@example.com,9876543245,UK,England,Manchester,Management
Danny Cordray,danny@example.com,9876543246,UK,England,Manchester,Sales
Clark Green,clark@example.com,9876543247,UK,Scotland,Edinburgh,Finance
Pete Miller,pete@example.com,9876543248,UK,Scotland,Glasgow,Finance
Bill Krajewski,bill@example.com,9876543249,UK,Scotland,Glasgow,Accounting
Garth McGregor,garth@example.com,9876543250,UK,Scotland,Glasgow,Accounting
Bruce Wayne,bruce@example.com,9876543251,USA,New Jersey,Gotham,Criminology
Clark Kent,clark@example.com,9876543252,USA,Kansas,Smallville,Journalism
Diana Prince,diana@example.com,9876543253,USA,Washington,Themyscira,History
Barry Allen,barry@example.com,9876543254,USA,Missouri,Central City,Physics
Arthur Curry,arthur@example.com,9876543255,USA,Maine,Amnesty Bay,Marine Biology
Victor Stone,victor@example.com,9876543256,USA,Detroit,Detroit,Engineering
Hal Jordan,hal@example.com,9876543257,USA,California,Coast City,Pilot Training
Oliver Queen,oliver@example.com,9876543258,USA,California,Star City,Archery
Bruce Wayne Updated,bruce.w@example.com,9876543251,USA,New Jersey,Gotham City,Criminology
Clark Kent Updated,clark.k@example.com,9876543252,USA,Kansas,Metropolis,Journalism
Tony Stark,tony@example.com,9876543259,USA,California,Malibu,Engineering
Steve Rogers,steve@example.com,9876543260,USA,New York,Brooklyn,Military Science
Natasha Romanoff,natasha@example.com,9876543261,Russia,Moscow,Moscow,Espionage
Clint Barton,clint@example.com,9876543262,USA,Iowa,Waverly,Archery
Thor Odinson,thor@example.com,9876543263,Asgard,Asgard,Asgard,Godhood
Loki Laufeyson,loki@example.com,9876543264,Asgard,Asgard,Asgard,Trickery
Peter Parker,peter@example.com,9876543265,USA,New York,Queens,Photography
Miles Morales,miles@example.com,9876543266,USA,New York,Queens,Photography
Gwen Stacy,gwen@example.com,9876543267,USA,New York,Queens,Science
